date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:12	18452/18452	---MCZ	200	added ('OK')	text/css	etag:%224814-8FuJfvoLVNWF9zNusmBsDRcl6D4%22	https://unpkg.com/swiper@10.2.0/swiper-bundle.min.css	C:/Users/user/Desktop/site/Consultix_web/unpkg.com/swiper@10.2.0/swiper-bundle.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:12	5644/5644	---MCZ	200	added ('OK')	text/css	etag:W/%22072b311d83cb5afc2e49c7249411b180%22	https://cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042805514/1652069899674/consultix/css/theme-overrides.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/template_assets/49042805514/1652069899674/consultix/css/theme-overrides.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:13	4341/4341	---MCZ	200	added ('OK')	text/css	etag:W/%22be311beeaca82cb023a5d6b883e96a13%22	https://cdn2.hubspot.net/hub/19947038/hub_generated/module_assets/49042719059/1624024198361/module_49042719059_menu-section.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/module_assets/49042719059/1624024198361/module_49042719059_menu-section.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:14	612/612	---MCZ	200	added ('OK')	text/css	etag:W/%22c708989561e0cdbfcf996d1b7f47482c%22	https://cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-2712622/1693236033133/module_-2712622_Site_Search_Input.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-2712622/1693236033133/module_-2712622_Site_Search_Input.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:14	42/42	---M--	200	added ('OK')	text/css	etag:%22653eb96a65c66f9f3acd443638c7dae1%22	https://cdn2.hubspot.net/hub/19947038/hub_generated/module_assets/49042746891/1624024199972/module_49042746891_Recent_Blog_Slider.min.css	C:/Users/user/Desktop/site/Consultix_web/cdn2.hubspot.net/hub/19947038/hub_generated/module_assets/49042746891/1624024199972/module_49042746891_Recent_Blog_Slider.min.css	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:16	49688/49688	---M--	200	added ('OK')	font/woff2	etag:%22a8d9aa7ba6d196c3212919c05588eaf4%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/600.woff2	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/600.woff2	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:19	49652/49652	---M--	200	added ('OK')	font/woff2	etag:%2246ff920efe7721f9087376e8131619e8%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/regular.woff2	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/regular.woff2	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:19	66228/66228	---M--	200	added ('OK')	font/woff	etag:%22496e8c9ba67c9563ba75687d7c1256ea%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/600.woff	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/600.woff	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:21	66568/66568	---M--	200	added ('OK')	font/woff	etag:%22b9c9ce9d76c92dcaf359eb5c8391de5e%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/regular.woff	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/regular.woff	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:21	49104/49104	---M--	200	added ('OK')	font/woff2	etag:%220debef05807771edda9c8d32f7d42384%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/700.woff2	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/700.woff2	(from https://radiantthemes-19947038.hs-sites.com/consultix)
